STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Bay-DeerPoin-2,30.2901,-85.5917,Bay-DeerPoin,Bay,Deer Point,2,LW,Lake
Bay-DeerPoin-3,30.3067,-85.5887,Bay-DeerPoin,Bay,Deer Point,3,LW,Lake
Bay-Ea-stBay-1,30.0383,-85.4867,Bay-Ea-stBay,Bay,East Bay-1,1,LW,Estuary
Bay-Ea-stBay-2,30.085,-85.5267,Bay-Ea-stBay,Bay,East Bay-2,1,LW,Estuary
Bay-Ea-stBay-3,30.1083,-85.5583,Bay-Ea-stBay,Bay,East Bay-3,1,LW,Estuary
Bay-Ea-stBay-4,30.0983,-85.61,Bay-Ea-stBay,Bay,East Bay-4,1,LW,Estuary
Bay-Ea-stBay-5,30.125,-85.6302,Bay-Ea-stBay,Bay,East Bay-5,1,LW,Estuary
Bay-Fannin-Bayou-1,30.2692,-85.6562,Bay-Fannin-Bayou,Bay,Fannin Bayou-1,1,LW,Estuary
Bay-FoxPond-1,30.1384,-85.5746,Bay-FoxPond,Bay,Fox Pond,1,LW,River/Stream
Bay-Goose-Bayou-1,30.2248,-85.6911,Bay-Goose-Bayou,Bay,Goose Bayou-1,1,LW,Estuary
Bay-Gr-Lagoon-1,30.1683,-85.785,Bay-Gr-Lagoon,Bay,Grand Lagoon-1,1,LW,Estuary
Bay-Gr-Lagoon-2,30.165,-85.7783,Bay-Gr-Lagoon,Bay,Grand Lagoon-2,1,LW,Estuary
Bay-Gr-Lagoon-3,30.1567,-85.76,Bay-Gr-Lagoon,Bay,Grand Lagoon-3,1,LW,Estuary
Bay-Gr-Lagoon-4,30.145,-85.7284,Bay-Gr-Lagoon,Bay,Grand Lagoon-4,1,LW,Estuary
Bay-Gr-Lagoon-5,30.1404,-85.7415,Bay-Gr-Lagoon,Bay,Grand Lagoon-5,1,LW,Estuary
Bay-Johnson-Bayou-1,30.1622,-85.6708,Bay-Johnson-Bayou,Bay,Johnson Bayou-1,1,LW,River/Stream
Bay-La-Bayou-1,30.1183,-85.5263,Bay-La-Bayou,Bay,Laird Bayou-1,1,LW,Estuary
Bay-La-Bayou-2,30.1277,-85.519,Bay-La-Bayou,Bay,Laird Bayou-2,1,LW,Estuary
Bay-La-Bayou-3,30.1333,-85.5065,Bay-La-Bayou,Bay,Laird Bayou-3,1,LW,Estuary
